"期間","經常帳-淨額-金額"
"1984Q1","1,713"
"1984Q2","1,928"
"1984Q3","1,766"
"1984Q4","1,573"
"1985Q1","1,779"
"1985Q2","2,280"
"1985Q3","2,705"
"1985Q4","2,442"
"1986Q1","3,211"
"1986Q2","3,643"
"1986Q3","4,584"
"1986Q4","4,844"
"1987Q1","4,599"
"1987Q2","4,915"
"1987Q3","5,389"
"1987Q4","3,142"
"1988Q1","1,281"
"1988Q2","3,296"
"1988Q3","2,354"
"1988Q4","3,335"
"1989Q1","2,742"
"1989Q2","2,356"
"1989Q3","3,455"
"1989Q4","2,950"
"1990Q1","1,686"
"1990Q2","2,274"
"1990Q3","3,653"
"1990Q4","3,301"
"1991Q1","2,340"
"1991Q2","3,109"
"1991Q3","2,727"
"1991Q4","4,292"
"1992Q1","2,479"
"1992Q2","1,860"
"1992Q3","1,531"
"1992Q4","2,680"
"1993Q1","1,718"
"1993Q2","1,721"
"1993Q3","1,594"
"1993Q4","2,009"
"1994Q1","926"
"1994Q2","1,780"
"1994Q3","1,573"
"1994Q4","2,219"
"1995Q1","1,352"
"1995Q2","-313"
"1995Q3","820"
"1995Q4","3,615"
"1996Q1","2,016"
"1996Q2","1,974"
"1996Q3","4,257"
"1996Q4","2,676"
"1997Q1","1,710"
"1997Q2","1,025"
"1997Q3","1,895"
"1997Q4","2,146"
"1998Q1","-103"
"1998Q2","687"
"1998Q3","1,866"
"1998Q4","679"
"1999Q1","2,332"
"1999Q2","2,180"
"1999Q3","1,403"
"1999Q4","1,662"
"2000Q1","1,299"
"2000Q2","920"
"2000Q3","2,247"
"2000Q4","3,753"
"2001Q1","3,507"
"2001Q2","2,950"
"2001Q3","4,031"
"2001Q4","6,584"
"2002Q1","6,737"
"2002Q2","5,522"
"2002Q3","4,436"
"2002Q4","7,638"
"2003Q1","7,303"
"2003Q2","6,499"
"2003Q3","6,629"
"2003Q4","7,819"
"2004Q1","5,493"
"2004Q2","5,303"
"2004Q3","5,054"
"2004Q4","1,399"
"2005Q1","4,031"
"2005Q2","1,374"
"2005Q3","649"
"2005Q4","8,872"
"2006Q1","4,920"
"2006Q2","4,171"
"2006Q3","5,895"
"2006Q4","8,151"
"2007Q1","8,935"
"2007Q2","5,742"
"2007Q3","6,158"
"2007Q4","11,178"
"2008Q1","8,074"
"2008Q2","7,025"
"2008Q3","2,087"
"2008Q4","7,615"
"2009Q1","12,600"
"2009Q2","9,835"
"2009Q3","7,409"
"2009Q4","10,806"
"2010Q1","9,413"
"2010Q2","9,933"
"2010Q3","8,421"
"2010Q4","9,065"
"2011Q1","9,254"
"2011Q2","7,526"
"2011Q3","9,568"
"2011Q4","11,530"
"2012Q1","8,637"
"2012Q2","8,944"
"2012Q3","10,863"
"2012Q4","14,724"
"2013Q1","8,813"
"2013Q2","12,242"
"2013Q3","13,134"
"2013Q4","15,683"
"2014Q1","12,586"
"2014Q2","15,749"
"2014Q3","13,871"
"2014Q4","18,319"
"2015Q1","21,998"
"2015Q2","16,104"
"2015Q3","15,722"
"2015Q4","19,319"
"2016Q1","20,518"
"2016Q2","17,843"
"2016Q3","13,470"
"2016Q4","19,763"
"2017Q1","19,622"
"2017Q2","17,738"
"2017Q3","18,139"
"2017Q4","28,019"
"2018Q1","22,207"
"2018Q2","17,730"
"2018Q3","11,298"
"2018Q4","20,754"
"2019Q1","17,244"
"2019Q2","17,555"
